Record_ID,Author(s),Year,Title,Journal / Conference,"Database (PubMed, MEDLINE, Scopus, WoS, etc.)",DOI / PMID,Country / Region of Study,"Health Informatics Domain (e.g., Clinical Decision Support, EHR, mHealth, Telemedicine)","Medical Specialty (e.g., Obstetrics, Oncology, Cardiology)","Type of Fuzzy Logic Used (FL, T2FL, IFS, PFS, HFS, etc.)","Hybrid Methods (ML, DL, MCDM, Optimization, etc.)",Purpose / Objective of Study,"Data Source (Clinical data, Sensor data, Survey, Public dataset)",Sample Size / Dataset Size,Data Preprocessing Techniques,Model / System Architecture,Decision-Making Technique,"Evaluation Metrics (Accuracy, AUC, RMSE, etc.)",Key Results / Findings,Explainability / Interpretability Consideration,"Validation Method (Cross-validation, Expert validation, Clinical validation)",Challenges / Limitations,Future Research Directions,Contribution to Health Informatics Practice,Fuzzy Taxonomy Category (Classical / Orthopair / Higher-order / Hybrid),Uncertainty Handling Mechanism,Role of MCDM in the Model,Method Category (Standalone / Hybrid),Reported Performance Trade-offs,Identified Research Gap Type
97,Aicevarya Devi S; Felix Augustin,2025,Enhanced picture fuzzy and centrality based EDAS-BW approach and its application in healthcare,Results in Engineering,Scopus,10.1016/j.rineng.2025.105273,India,Clinical Decision Support / Healthcare Management,General Healthcare,Picture Fuzzy Sets,EDAS; Best–Worst method,To rank healthcare alternatives using enhanced picture fuzzy decision models,Expert evaluations,Not applicable,Linguistic scaling and normalization,Picture fuzzy EDAS–BW decision framework,Multi-criteria ranking,Ranking robustness and sensitivity analysis,Improves stability of healthcare option ranking,Moderate interpretability via weights,Comparative validation,Subjectivity of expert input,Real healthcare case implementations,Supports structured healthcare prioritization,Higher-order,Picture fuzzy uncertainty representation,Yes,Hybrid,Robust rankings versus elicitation burden,Need for applied case validation
98,Priya Sharma; Mukesh Kumar Mehlawat; Pankaj Gupta; Shilpi Verma,2025,Selecting a health emergency strategy through large-scale multi-criteria decision-making based on intuitionistic fuzzy self-confidence data,Applied Soft Computing,Scopus; Web of Science,10.1016/j.asoc.2025.113085,India,Emergency Health Strategy Planning,Public Health,Intuitionistic Fuzzy Sets,Large-scale multi-criteria decision-making,To select health emergency strategies using self-confidence assessments,Expert and stakeholder assessments,Not applicable,Linguistic scaling and normalization,Intuitionistic fuzzy large-scale decision model,Strategy ranking and consensus,Consensus level and decision robustness,Improves robustness of emergency strategy selection,Moderate interpretability,Comparative validation,Complex stakeholder elicitation,Integration into emergency preparedness plans,Supports emergency preparedness decision-making,Orthopair,Intuitionistic membership and non-membership degrees,Yes,Hybrid,Consensus quality versus computational complexity,Need for real emergency drill validation
99,Ankita Bose; Kalyani Mali,2021,Type-reduced vague possibilistic fuzzy clustering for medical images,Pattern Recognition,Scopus; Web of Science,10.1016/j.patcog.2020.107784,India,Medical Image Segmentation,Radiology,Possibilistic Fuzzy Clustering,Type-reduction,To improve clustering-based segmentation in medical imaging,Medical image datasets,Not reported in the citation record,Image preprocessing and normalization,Type-reduced vague possibilistic clustering model,Image clustering and segmentation,Dice similarity coefficient; Jaccard index,Improves robustness to noise in segmentation,Partial interpretability via membership maps,Cross-validation,Parameter sensitivity,Benchmarking on diverse modalities,Supports improved segmentation for diagnosis,Higher-order,Vague and possibilistic uncertainty modeling,No,Hybrid,Improved robustness versus tuning effort,Need for clinical workflow validation
100,Tin-Chih Toly Chen; Chi-Wei Lin,2022,An FGM decomposition-based fuzzy MCDM method for selecting smart technology applications to support mobile health care during and after the COVID-19 pandemic,Applied Soft Computing,Scopus; Web of Science,10.1016/j.asoc.2022.108758,Taiwan,mHealth Technology Selection,Public Health,Fuzzy Sets,Fuzzy multi-criteria decision-making,To select smart technologies supporting mobile healthcare post-COVID-19,Expert evaluations,Not applicable,Linguistic scaling and normalization,FGM decomposition fuzzy MCDM framework,Technology ranking and selection,Ranking robustness and sensitivity analysis,Improves technology selection for mHealth support,Moderate interpretability via weights,Comparative validation,Context dependence,Implementation evaluation in health systems,Supports strategic mHealth adoption decisions,Classical,Linguistic uncertainty modeling,Yes,Hybrid,Better ranking stability versus elicitation burden,Need for operational adoption validation
101,Elhadi E. Elamir; M. El Sayed; Ria H. Egami; Fathea M. Osman Birkea; S.A. Alblowi; M.A. El Safty,2024,Max-min Fuzzy and soft sets approach in constructing fuzzy soft matrix for medical decision-making during epidemics,Alexandria Engineering Journal,Scopus; Web of Science,10.1016/j.aej.2024.05.006,Egypt,Epidemic Decision Support,Public Health,Fuzzy Soft Sets,Soft computing decision matrices,To support epidemic medical decisions using fuzzy soft matrices,Epidemic decision scenarios and expert inputs,Not applicable,Linguistic scaling,Fuzzy soft matrix decision framework,Max–min decision aggregation,Decision consistency and robustness,Improves structured decision-making during epidemics,Moderate interpretability,Theoretical and/or comparative validation,Limited applied evaluation,Real epidemic data-driven validation,Supports structured epidemic response decisions,Hybrid,Fuzzy soft uncertainty representation,Yes,Hybrid,Decision robustness versus limited empirical testing,Need for real-world epidemic validation
102,Detcharat Sumrit,2025,Unveiling the effects of big data analytic capability on improving healthcare supply chain resilience: An integrated MCDM with spherical fuzzy information approach,Results in Engineering,Scopus,10.1016/j.rineng.2025.104499,Thailand,Healthcare Supply Chain Resilience,Healthcare Logistics,Spherical Fuzzy Sets,Multi-Criteria Decision-Making,To evaluate how big data analytics improves supply chain resilience,Survey and expert judgment,Not reported in the citation record,Data cleaning and normalization,Spherical fuzzy integrated MCDM framework,Resilience factor ranking,Model fit indicators and ranking robustness,Identifies key resilience drivers and their relative importance,Moderate interpretability,Empirical validation,Survey bias and context dependence,Longitudinal resilience performance studies,Supports resilient healthcare supply chain planning,Higher-order,Spherical fuzzy uncertainty representation,Yes,Hybrid,Decision insight versus data collection effort,Need for longitudinal validation
103,Samane Sharif; Seyed Amin Hosseini Seno; Alireza Rowhanimanesh,2021,A fuzzy-logic-based fault detection system for medical Internet of Nano Things,Nano Communication Networks,Scopus; Web of Science,10.1016/j.nancom.2021.100366,Iran,Internet of Nano Things / Fault Detection,Remote Monitoring,Fuzzy Logic,Fault detection algorithms,To detect faults in medical nano-sensor networks,Network and sensor signal data,Not reported in the citation record,Signal filtering and normalization,Fuzzy fault detection architecture,Fuzzy rule-based detection,Detection accuracy and false alarm rate,Improves reliability of nano-medical sensing networks,Moderate interpretability via rules,Experimental validation,Resource constraints,Security and real deployment validation,Supports reliable nano-enabled health monitoring,Classical,Fuzzy rule-based uncertainty in signals,No,Standalone,Accuracy versus energy/resource use,Need for real clinical deployment evidence
104,Rong Jiang; Rui Liu; Tao Zhang; Weiping Ding; Shenghu Tian,2024,An electronic medical record access control model based on intuitionistic fuzzy trust,Information Sciences,Scopus; Web of Science,10.1016/j.ins.2023.120054,China,Electronic Health Record Security,Cybersecurity in Healthcare,Intuitionistic Fuzzy Sets,Trust modeling,To control electronic medical record access using fuzzy trust,Electronic health record access logs and policies,Not reported in the citation record,Data cleaning and normalization,Intuitionistic fuzzy trust access control model,Trust-based authorization decisions,Access decision accuracy and policy compliance,Improves access control reliability and trust modeling,Moderate interpretability via trust scores,Experimental validation,Policy complexity,Integration with hospital identity management,Supports secure and trusted EHR access control,Orthopair,Intuitionistic trust uncertainty modeling,No,Hybrid,Security strength versus administrative complexity,Need for real hospital implementation studies
105,Fei Yan; Hesheng Huang; Witold Pedrycz; Kaoru Hirota,2024,A disease diagnosis system for smart healthcare based on fuzzy clustering and battle royale optimization,Applied Soft Computing,Scopus; Web of Science,10.1016/j.asoc.2023.111123,China,Smart Healthcare Diagnosis,General Diagnosis,Fuzzy Clustering,Optimization (Battle Royale),To improve disease diagnosis using clustering and optimization,Clinical datasets,Not reported in the citation record,Data normalization and feature selection,Fuzzy clustering with optimization framework,Diagnostic classification,Classification accuracy; Precision; Recall; F1-score,Improves diagnostic performance via optimized clustering,Partial interpretability via cluster structure,Cross-validation,Optimization parameter sensitivity,Clinical validation and robustness tests,Supports smarter diagnostic decision systems,Hybrid,Uncertainty handled via fuzzy clustering,No,Hybrid,Accuracy improvements versus computational cost,Need for clinical deployment and explainability studies
106,Yuanhang Zheng; Yue He; Zeshui Xu; Witold Pedrycz,2018,Assessment for hierarchical medical policy proposals using hesitant fuzzy linguistic analytic network process,Knowledge-Based Systems,Scopus; Web of Science,10.1016/j.knosys.2018.07.005,China,Health Policy Decision Support,Public Health Policy,Hesitant Fuzzy Linguistic Sets,Analytic Network Process,To assess medical policy proposals with hierarchical dependence,Expert policy evaluations,Not applicable,Linguistic scaling and normalization,Hesitant fuzzy linguistic ANP framework,Policy prioritization,Ranking robustness and sensitivity analysis,Improves structured assessment of policy proposals,Moderate interpretability via network weights,Expert validation,Context dependence and expert bias,Integration with policy outcome indicators,Supports transparent health policy evaluation,Higher-order,Hesitant linguistic uncertainty representation,Yes,Hybrid,Better modeling of dependence versus complexity,Need for outcome-linked validation
107,Yingxu Wang; Long Chen; Jin Zhou; Tianjun Li; C. L. Philip Chen,2022,Interval type-2 outlier-robust picture fuzzy clustering and its application in medical image segmentation,Applied Soft Computing,Scopus; Web of Science,10.1016/j.asoc.2022.108891,China,Medical Image Segmentation,Radiology,Interval Type-2 Picture Fuzzy Sets,Outlier-robust clustering,To improve segmentation robustness against outliers and noise,Medical imaging datasets,Not reported in the citation record,Image normalization and denoising,Outlier-robust interval type-2 picture fuzzy clustering,Segmentation inference,Dice similarity coefficient; Jaccard index,Improves segmentation quality under noisy conditions,Partial interpretability via membership maps,Cross-validation,Model complexity and computational cost,Real-time segmentation optimization,Supports more reliable imaging-based diagnosis,Higher-order,Interval type-2 and picture fuzzy uncertainty,No,Hybrid,Robustness gains versus runtime overhead,Need for clinical modality benchmarking
